,Region,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Cost,Total Revenue,Total Cost,Total Profit,year
28,Sub-Saharan Africa,Baby Food,Online,M,27-12-2012,975111138,21-01-2013,5910,159.42,1508704.8,942172.2,566532.6,2012
29,Australia and Oceania,Snacks,Online,C,01-04-2013,286001002,15-04-2013,2907,97.44,443550.06,283258.08,160291.98,2013
30,Middle East and North Africa,Cosmetics,Offline,H,26-06-2015,483226621,06-08-2015,6350,263.33,2776220,1672145.5,1104074.5,2015
31,Australia and Oceania,Clothes,Offline,M,17-01-2012,241836822,17-01-2012,3744,35.84,409144.32,134184.96,274959.36,2012
32,Middle East and North Africa,Clothes,Online,H,03-07-2011,557192933,05-07-2011,4626,35.84,505529.28,165795.84,339733.44,2011
33,Sub-Saharan Africa,Meat,Online,L,17-02-2012,694968783,02-04-2012,5562,364.69,2346552.18,2028405.78,318146.4,2012
34,Middle East and North Africa,Fruits,Online,H,05-04-2013,441150701,12-05-2013,5150,6.92,48049.5,35638,12411.5,2013
35,Europe,Cereal,Online,M,08-07-2011,552037513,05-08-2011,9022,117.11,1855825.4,1056566.42,799258.98,2011
36,Australia and Oceania,Cosmetics,Offline,C,24-02-2012,504240548,27-03-2012,4838,263.33,2115173.6,1273990.54,841183.06,2012
37,Europe,Vegetables,Offline,L,13-02-2010,744683635,01-04-2010,7291,90.93,1123251.46,662970.63,460280.83,2010
38,Sub-Saharan Africa,Personal Care,Online,L,07-08-2016,440603101,15-09-2016,3104,56.67,253689.92,175903.68,77786.24,2016
39,Middle East and North Africa,Clothes,Offline,L,26-04-2017,629547774,03-05-2017,6031,35.84,659067.68,216151.04,442916.64,2017
40,Europe,Meat,Online,L,21-03-2014,169378983,10-04-2014,1860,364.69,784715.4,678323.4,106392,2014
41,Middle East and North Africa,Personal Care,Offline,L,02-02-2014,688270556,04-03-2014,3407,56.67,278454.11,193074.69,85379.42,2014
42,Asia,Meat,Online,L,21-03-2017,734708821,24-03-2017,5522,364.69,2329676.58,2013818.18,315858.4,2017
43,Asia,Snacks,Online,C,06-08-2013,727492606,22-09-2013,84,97.44,12816.72,8184.96,4631.76,2013
44,Middle East and North Africa,Baby Food,Offline,M,30-12-2016,705733239,25-01-2017,1003,159.42,256045.84,159898.26,96147.58,2016
45,Sub-Saharan Africa,Office Supplies,Offline,C,03-10-2015,778854548,03-10-2015,9224,524.96,6006761.04,4842231.04,1164530,2015
46,Sub-Saharan Africa,Cosmetics,Offline,M,30-05-2014,676592862,09-07-2014,7718,263.33,3374309.6,2032380.94,1341928.66,2014
47,Middle East and North Africa,Household,Offline,M,15-10-2014,198997008,16-10-2014,6492,502.54,4338408.84,3262489.68,1075919.16,2014
48,Europe,Beverages,Online,H,16-03-2012,566428315,23-03-2012,7581,31.79,359718.45,240999.99,118718.46,2012
49,Asia,Baby Food,Online,M,27-05-2014,369560611,13-06-2014,52,159.42,13274.56,8289.84,4984.72,2014
50,Europe,Snacks,Online,M,12-01-2015,519380223,17-01-2015,5005,97.44,763662.9,487687.2,275975.7,2015
51,Asia,Office Supplies,Online,H,10-08-2012,197185981,11-09-2012,568,524.96,369887.28,298177.28,71710,2012
52,Europe,Office Supplies,Online,H,13-04-2014,904589211,04-05-2014,6905,524.96,4496605.05,3624848.8,871756.25,2014
53,Australia and Oceania,Household,Offline,H,23-11-2016,613513743,31-12-2016,1205,502.54,805265.35,605560.7,199704.65,2016
54,Australia and Oceania,Clothes,Offline,M,22-10-2010,516195905,29-10-2010,2694,35.84,294400.32,96552.96,197847.36,2010
55,Asia,Vegetables,Offline,H,03-12-2013,975184524,17-01-2014,7626,90.93,1174861.56,693432.18,481429.38,2013
56,Australia and Oceania,Clothes,Online,M,08-12-2014,173340928,03-01-2015,4287,35.84,468483.36,153646.08,314837.28,2014
57,Sub-Saharan Africa,Personal Care,Offline,H,16-12-2014,863838946,05-01-2015,7995,56.67,653431.35,453076.65,200354.7,2014
58,Asia,Cereal,Offline,L,02-03-2016,920164906,06-03-2016,6099,117.11,1254564.3,714253.89,540310.41,2016
59,Central America and the Caribbean,Meat,Online,M,12-06-2010,986117637,30-07-2010,2977,364.69,1255966.53,1085682.13,170284.4,2010
60,Middle East and North Africa,Cereal,Online,L,18-06-2013,425808465,18-07-2013,5042,117.11,1037139.4,590468.62,446670.78,2013
61,Central America and the Caribbean,Beverages,Online,L,12-06-2015,473661220,03-07-2015,5736,31.79,272173.2,182347.44,89825.76,2015
62,Europe,Baby Food,Online,C,04-04-2015,184412229,07-04-2015,531,159.42,135553.68,84652.02,50901.66,2015
63,Asia,Vegetables,Offline,H,12-08-2016,483110320,30-09-2016,1934,90.93,297952.04,175858.62,122093.42,2016
64,Central America and the Caribbean,Household,Online,H,22-09-2016,115116822,01-11-2016,4481,502.54,2994517.87,2251881.74,742636.13,2016
65,Middle East and North Africa,Baby Food,Online,M,29-01-2010,596105563,20-03-2010,9738,159.42,2485916.64,1552431.96,933484.68,2010
66,Sub-Saharan Africa,Snacks,Online,C,10-12-2014,362062871,23-12-2014,1304,97.44,198964.32,127061.76,71902.56,2014
67,Sub-Saharan Africa,Beverages,Online,H,28-07-2016,619287574,02-08-2016,9810,31.79,465484.5,311859.9,153624.6,2016
68,Central America and the Caribbean,Clothes,Offline,H,10-06-2016,394391000,23-06-2016,7916,35.84,865060.48,283709.44,581351.04,2016
69,Sub-Saharan Africa,Beverages,Online,M,16-04-2013,584296977,28-04-2013,5315,31.79,252196.75,168963.85,83232.9,2013
70,Middle East and North Africa,Clothes,Offline,M,05-07-2014,806241834,15-08-2014,3730,35.84,407614.4,133683.2,273931.2,2014
71,Europe,Meat,Offline,M,08-03-2017,747774398,03-04-2017,1916,364.69,808341.24,698746.04,109595.2,2017
72,Central America and the Caribbean,Meat,Online,H,24-11-2011,616755998,03-12-2011,660,364.69,278447.4,240695.4,37752,2011
73,Australia and Oceania,Baby Food,Offline,C,20-10-2016,691360461,07-11-2016,7779,159.42,1985823.12,1240128.18,745694.94,2016
74,Central America and the Caribbean,Beverages,Online,C,01-04-2013,870074117,16-05-2013,3121,31.79,148091.45,99216.59,48874.86,2013
75,Middle East and North Africa,Office Supplies,Online,H,01-03-2010,221695792,20-03-2010,3566,524.96,2322214.86,1872007.36,450207.5,2010
76,Australia and Oceania,Fruits,Online,M,13-07-2017,135336816,17-08-2017,8026,6.92,74882.58,55539.92,19342.66,2017
77,Australia and Oceania,Office Supplies,Online,L,29-04-2012,270421016,23-05-2012,2443,524.96,1590906.03,1282477.28,308428.75,2012
78,Sub-Saharan Africa,Household,Online,H,16-06-2010,806684720,18-07-2010,4790,502.54,3201013.3,2407166.6,793846.7,2010
79,Europe,Household,Online,M,10-07-2017,194176757,20-08-2017,72,502.54,48115.44,36182.88,11932.56,2017
80,Middle East and North Africa,Baby Food,Offline,H,28-06-2017,103258454,15-08-2017,5326,159.42,1359621.28,849070.92,510550.36,2017
81,Middle East and North Africa,Office Supplies,Online,H,21-04-2014,474603641,30-05-2014,4619,524.96,3007938.99,2424790.24,583148.75,2014
82,Sub-Saharan Africa,Cereal,Online,H,26-12-2012,869198644,05-01-2013,4049,117.11,832879.3,474178.39,358700.91,2012
83,Sub-Saharan Africa,Household,Online,H,01-11-2015,918342292,21-12-2015,6747,502.54,4508817.69,3390637.38,1118180.31,2015
84,Europe,Cosmetics,Online,H,22-01-2011,773645913,28-01-2011,7873,263.33,3442075.6,2073197.09,1368878.51,2011
85,Asia,Cosmetics,Online,C,13-06-2014,657033336,02-07-2014,9620,263.33,4205864,2533234.6,1672629.4,2014
86,Europe,Meat,Online,H,24-07-2012,410740888,01-09-2012,6211,364.69,2620358.79,2265089.59,355269.2,2012
87,Europe,Meat,Offline,M,15-12-2011,847317397,18-12-2011,8902,364.69,3755664.78,3246470.38,509194.4,2011
88,Europe,Beverages,Online,L,03-09-2012,599624192,21-09-2012,978,31.79,46406.1,31090.62,15315.48,2012
89,Asia,Beverages,Offline,H,19-01-2012,170835101,12-02-2012,2758,31.79,130867.1,87676.82,43190.28,2012
90,Central America and the Caribbean,Cereal,Online,H,17-01-2016,584436452,09-02-2016,6588,117.11,1355151.6,771520.68,583630.92,2016
91,Sub-Saharan Africa,Office Supplies,Online,H,02-10-2012,234227073,12-10-2012,1851,524.96,1205389.71,971700.96,233688.75,2012
92,Europe,Office Supplies,Online,M,21-01-2014,734318292,04-03-2014,9956,524.96,6483446.76,5226501.76,1256945,2014
93,Central America and the Caribbean,Snacks,Online,H,21-12-2013,169133937,31-12-2013,9345,97.44,1425860.1,910576.8,515283.3,2013
94,Asia,Cereal,Online,C,24-02-2015,743410336,20-03-2015,494,117.11,101615.8,57852.34,43763.46,2015
95,Europe,Household,Offline,L,07-07-2017,232196319,04-08-2017,905,502.54,604784.35,454798.7,149985.65,2017
96,Sub-Saharan Africa,Beverages,Offline,L,30-06-2014,530853211,02-08-2014,117,31.79,5551.65,3719.43,1832.22,2014
97,Australia and Oceania,Fruits,Online,L,07-12-2011,905054843,12-01-2012,4695,6.92,43804.35,32489.4,11314.95,2011
98,Middle East and North Africa,Household,Offline,C,27-09-2016,240787541,13-11-2016,3239,502.54,2164526.53,1627727.06,536799.47,2016
99,Sub-Saharan Africa,Meat,Online,L,22-05-2010,194350135,05-06-2010,1379,364.69,581786.31,502907.51,78878.8,2010
100,Asia,Household,Online,L,12-04-2013,242353951,13-04-2013,6775,502.54,4527529.25,3404708.5,1122820.75,2013
101,Central America and the Caribbean,Vegetables,Offline,C,17-10-2012,831722819,26-10-2012,4120,90.93,634727.2,374631.6,260095.6,2012
102,Europe,Cosmetics,Online,L,15-07-2012,229693067,15-07-2012,138,263.33,60333.6,36339.54,23994.06,2012
103,Sub-Saharan Africa,Cereal,Offline,H,19-05-2013,373813521,15-06-2013,8583,117.11,1765523.1,1005155.13,760367.97,2013
104,Europe,Beverages,Online,C,08-04-2017,121945512,12-04-2017,5242,31.79,248732.9,166643.18,82089.72,2017
105,Australia and Oceania,Fruits,Offline,L,06-11-2015,202262866,14-12-2015,2932,6.92,27355.56,20289.44,7066.12,2015
106,Australia and Oceania,Personal Care,Offline,M,21-12-2016,963251912,01-02-2017,6501,56.67,531326.73,368411.67,162915.06,2016
107,Central America and the Caribbean,Household,Online,M,21-08-2010,123711478,13-09-2010,7830,502.54,5232554.1,3934888.2,1297665.9,2010
108,Central America and the Caribbean,Clothes,Offline,L,12-08-2010,422752892,12-08-2010,830,35.84,90702.4,29747.2,60955.2,2010
109,Europe,Fruits,Online,H,22-10-2012,169799983,20-11-2012,6443,6.92,60113.19,44585.56,15527.63,2012
110,Europe,Vegetables,Online,M,11-03-2014,894589078,10-04-2014,7643,90.93,1177480.58,694977.99,482502.59,2014
111,Asia,Office Supplies,Offline,M,03-08-2016,597169005,14-08-2016,4434,524.96,2887465.14,2327672.64,559792.5,2016
112,Sub-Saharan Africa,Office Supplies,Offline,H,26-04-2015,497901093,11-06-2015,8853,524.96,5765162.13,4647470.88,1117691.25,2015
113,Europe,Personal Care,Online,M,16-07-2010,987459170,27-08-2010,9967,56.67,814602.91,564829.89,249773.02,2010
114,Asia,Personal Care,Offline,M,22-01-2011,276829564,13-02-2011,8875,56.67,725353.75,502946.25,222407.5,2011
115,Sub-Saharan Africa,Household,Offline,H,22-05-2015,247311103,11-07-2015,3706,502.54,2476608.62,1862413.24,614195.38,2015
116,Europe,Fruits,Offline,M,12-07-2015,600515115,30-08-2015,4622,6.92,43123.26,31984.24,11139.02,2015
117,Europe,Office Supplies,Offline,M,27-11-2015,208365428,29-12-2015,8815,524.96,5740416.15,4627522.4,1112893.75,2015
118,Europe,Personal Care,Online,L,08-06-2014,263098371,04-07-2014,5509,56.67,450250.57,312195.03,138055.54,2014
119,Australia and Oceania,Office Supplies,Online,L,21-11-2013,227262771,06-01-2014,959,524.96,624510.39,503436.64,121073.75,2013
120,Sub-Saharan Africa,Office Supplies,Offline,H,14-07-2010,983719956,01-08-2010,3450,524.96,2246674.5,1811112,435562.5,2010
121,Sub-Saharan Africa,Baby Food,Offline,H,17-01-2013,785643756,26-01-2013,8301,159.42,2119079.28,1323345.42,795733.86,2013
122,Sub-Saharan Africa,Office Supplies,Online,C,15-01-2016,206520497,05-03-2016,2859,524.96,1861809.39,1500860.64,360948.75,2016
123,Europe,Cosmetics,Online,C,23-05-2011,790149009,29-05-2011,1505,263.33,657986,396311.65,261674.35,2011
124,Europe,Cereal,Online,M,08-10-2014,100640618,18-10-2014,650,117.11,133705,76121.5,57583.5,2014
125,Sub-Saharan Africa,Personal Care,Online,L,27-05-2016,272419154,27-06-2016,3736,56.67,305343.28,211719.12,93624.16,2016
126,Sub-Saharan Africa,Meat,Offline,M,27-02-2015,360220944,27-02-2015,6237,364.69,2631327.93,2274571.53,356756.4,2015
127,Asia,Beverages,Offline,C,01-10-2014,389094817,11-11-2014,658,31.79,31222.1,20917.82,10304.28,2014
128,Sub-Saharan Africa,Meat,Offline,L,19-05-2012,904402101,23-06-2012,1534,364.69,647179.26,559434.46,87744.8,2012
129,Sub-Saharan Africa,Vegetables,Online,H,13-02-2010,721816623,17-02-2010,434,90.93,66862.04,39463.62,27398.42,2010
130,Europe,Snacks,Online,H,01-02-2011,977324712,10-03-2011,955,97.44,145713.9,93055.2,52658.7,2011
131,Sub-Saharan Africa,Beverages,Online,C,07-09-2015,177225196,12-09-2015,3729,31.79,176941.05,118544.91,58396.14,2015
132,Middle East and North Africa,Beverages,Online,M,27-03-2010,948129403,14-05-2010,1415,31.79,67141.75,44982.85,22158.9,2010
133,Central America and the Caribbean,Meat,Offline,M,15-03-2016,586961162,22-04-2016,3706,364.69,1563524.34,1351541.14,211983.2,2016
134,Europe,Snacks,Online,H,07-09-2010,510956799,23-09-2010,2326,97.44,354901.08,226645.44,128255.64,2010
135,Central America and the Caribbean,Meat,Online,L,26-06-2013,407665145,05-07-2013,6030,364.69,2543996.7,2199080.7,344916,2013
136,Middle East and North Africa,Meat,Online,C,09-03-2015,484947526,16-03-2015,5604,364.69,2364271.56,2043722.76,320548.8,2015
137,Europe,Fruits,Online,M,23-03-2011,120977771,02-05-2011,8866,6.92,82719.78,61352.72,21367.06,2011
138,Asia,Personal Care,Offline,M,29-03-2013,114242208,15-05-2013,5663,56.67,462836.99,320922.21,141914.78,2013
139,Middle East and North Africa,Clothes,Online,M,05-01-2015,433539664,15-01-2015,2876,35.84,314289.28,103075.84,211213.44,2015
140,Australia and Oceania,Meat,Online,M,21-05-2011,667981469,12-06-2011,9416,364.69,3972516.24,3433921.04,538595.2,2011
141,Europe,Snacks,Offline,L,11-03-2017,476991450,27-03-2017,1225,97.44,186910.5,119364,67546.5,2017
142,Sub-Saharan Africa,Office Supplies,Online,C,23-06-2010,940305936,29-07-2010,6277,524.96,4087645.17,3295173.92,792471.25,2010
143,Sub-Saharan Africa,Baby Food,Online,H,28-12-2011,507973754,12-01-2012,9577,159.42,2444816.56,1526765.34,918051.22,2011
144,Asia,Cosmetics,Online,L,06-04-2013,850356233,26-05-2013,8161,263.33,3567989.2,2149036.13,1418953.07,2013
145,Asia,Meat,Offline,L,05-09-2010,108127200,01-10-2010,6096,364.69,2571841.44,2223150.24,348691.2,2010
146,Middle East and North Africa,Office Supplies,Online,C,27-10-2016,542272984,08-12-2016,9481,524.96,6174122.01,4977145.76,1196976.25,2016
147,Sub-Saharan Africa,Office Supplies,Offline,C,11-04-2011,884092414,13-05-2011,1447,524.96,942300.87,759617.12,182683.75,2011
148,Sub-Saharan Africa,Household,Offline,C,17-07-2012,385196816,03-09-2012,7153,502.54,4780135.31,3594668.62,1185466.69,2012
149,Asia,Meat,Online,L,09-09-2013,167510020,06-10-2013,8792,364.69,3709256.88,3206354.48,502902.4,2013
150,Europe,Beverages,Online,H,05-06-2016,973268353,26-06-2016,589,31.79,27948.05,18724.31,9223.74,2016
151,Sub-Saharan Africa,Fruits,Offline,M,28-02-2012,915020644,18-03-2012,3797,6.92,35426.01,26275.24,9150.77,2012
152,Sub-Saharan Africa,Cosmetics,Offline,C,31-01-2016,425628221,24-02-2016,1704,263.33,744988.8,448714.32,296274.48,2016
153,Central America and the Caribbean,Beverages,Online,L,18-05-2010,908264911,14-06-2010,4626,31.79,219503.7,147060.54,72443.16,2010
154,Sub-Saharan Africa,Cereal,Online,C,25-02-2016,686417043,29-03-2016,4912,117.11,1010398.4,575244.32,435154.08,2016
155,Asia,Household,Online,H,07-12-2013,853883445,10-01-2014,1941,502.54,1297112.07,975430.14,321681.93,2013
156,Middle East and North Africa,Cereal,Online,C,08-08-2015,324775445,14-09-2015,7126,117.11,1465818.2,834525.86,631292.34,2015
157,Middle East and North Africa,Cereal,Online,C,03-03-2015,783516871,06-04-2015,8909,117.11,1832581.3,1043332.99,789248.31,2015
158,Asia,Cosmetics,Offline,H,15-04-2015,834844052,20-05-2015,7762,263.33,3393546.4,2043967.46,1349578.94,2015
159,Asia,Snacks,Offline,H,20-11-2015,953805816,25-12-2015,1191,97.44,181722.78,116051.04,65671.74,2015
160,North America,Office Supplies,Online,L,22-05-2010,335763490,04-07-2010,8733,524.96,5687016.93,4584475.68,1102541.25,2010
161,Asia,Cosmetics,Online,H,18-03-2012,946390902,23-03-2012,6954,263.33,3040288.8,1831196.82,1209091.98,2012
162,Europe,Vegetables,Offline,L,14-02-2013,771674382,21-03-2013,4453,90.93,686029.18,404911.29,281117.89,2013
163,Asia,Cereal,Online,C,23-04-2017,567912757,22-05-2017,6860,117.11,1411102,803374.6,607727.4,2017
164,Middle East and North Africa,Office Supplies,Offline,L,18-11-2014,711717355,18-11-2014,1836,524.96,1195621.56,963826.56,231795,2014
165,Sub-Saharan Africa,Office Supplies,Online,L,11-12-2015,750012004,30-01-2016,4074,524.96,2653029.54,2138687.04,514342.5,2015
166,Middle East and North Africa,Snacks,Online,C,09-07-2016,750033032,18-08-2016,297,97.44,45316.26,28939.68,16376.58,2016
167,Central America and the Caribbean,Household,Offline,H,28-06-2017,849329268,22-07-2017,4259,502.54,2846161.93,2140317.86,705844.07,2017
168,Central America and the Caribbean,Meat,Online,M,22-03-2013,805762040,08-04-2013,1748,364.69,737463.72,637478.12,99985.6,2013
169,Sub-Saharan Africa,Cereal,Online,H,04-07-2010,447505176,27-07-2010,5581,117.11,1148011.7,653590.91,494420.79,2010
170,Australia and Oceania,Beverages,Offline,L,14-03-2017,123045003,22-03-2017,606,31.79,28754.7,19264.74,9489.96,2017
171,Asia,Household,Offline,H,21-09-2015,251180350,20-10-2015,8702,502.54,5815285.54,4373103.08,1442182.46,2015
172,Asia,Household,Online,M,10-04-2012,871022546,11-04-2012,3782,502.54,2527397.14,1900606.28,626790.86,2012
173,Europe,Fruits,Online,L,02-05-2010,291995418,06-06-2010,6788,6.92,63332.04,46972.96,16359.08,2010
174,Asia,Clothes,Online,C,13-06-2014,943835294,01-08-2014,692,35.84,75621.76,24801.28,50820.48,2014
175,Sub-Saharan Africa,Office Supplies,Offline,L,18-04-2011,826591002,18-04-2011,5501,524.96,3582306.21,2887804.96,694501.25,2011
176,Middle East and North Africa,Cosmetics,Online,M,01-05-2011,260623872,12-05-2011,3250,263.33,1420900,855822.5,565077.5,2011
177,Australia and Oceania,Vegetables,Online,L,21-09-2014,536607730,03-11-2014,3007,90.93,463258.42,273426.51,189831.91,2014
178,Australia and Oceania,Personal Care,Offline,L,17-02-2015,765528905,06-03-2015,5870,56.67,479755.1,332652.9,147102.2,2015
179,Europe,Baby Food,Online,M,25-01-2011,128686225,13-03-2011,9968,159.42,2544631.04,1589098.56,955532.48,2011
180,Middle East and North Africa,Vegetables,Offline,L,01-04-2017,127691018,05-04-2017,5465,90.93,841937.9,496932.45,345005.45,2017
181,Australia and Oceania,Vegetables,Offline,C,21-05-2015,534467113,25-05-2015,9550,90.93,1471273,868381.5,602891.5,2015
182,Australia and Oceania,Personal Care,Online,H,18-12-2010,741250836,10-01-2011,1450,56.67,118508.5,82171.5,36337,2010
183,Australia and Oceania,Snacks,Online,M,02-05-2014,210591018,27-05-2014,7417,97.44,1131685.86,722712.48,408973.38,2014
184,Central America and the Caribbean,Vegetables,Online,C,06-03-2014,725348985,13-04-2014,5738,90.93,883996.28,521756.34,362239.94,2014
185,Sub-Saharan Africa,Household,Offline,H,11-08-2011,538698565,07-09-2011,1731,502.54,1156775.37,869896.74,286878.63,2011
186,Central America and the Caribbean,Cereal,Offline,H,20-05-2016,224126088,12-06-2016,2745,117.11,564646.5,321466.95,243179.55,2016
187,Middle East and North Africa,Beverages,Online,M,22-10-2012,425430381,05-12-2012,3159,31.79,149894.55,100424.61,49469.94,2012
188,Sub-Saharan Africa,Vegetables,Offline,M,20-07-2016,506722772,08-08-2016,9383,90.93,1445544.98,853196.19,592348.79,2016
189,Sub-Saharan Africa,Office Supplies,Offline,C,07-04-2010,802427089,26-04-2010,4862,524.96,3166183.02,2552355.52,613827.5,2010
190,Asia,Cosmetics,Offline,H,14-07-2015,367279660,09-08-2015,5068,263.33,2215729.6,1334556.44,881173.16,2015
191,Middle East and North Africa,Personal Care,Offline,H,10-05-2013,126329314,21-05-2013,2506,56.67,204815.38,142015.02,62800.36,2013
192,Asia,Personal Care,Offline,H,01-02-2016,624937379,08-02-2016,1713,56.67,140003.49,97075.71,42927.78,2016
193,Central America and the Caribbean,Snacks,Offline,H,20-08-2010,678777682,28-09-2010,4255,97.44,649227.9,414607.2,234620.7,2010
194,Asia,Cereal,Online,L,12-04-2015,523836553,22-05-2015,3732,117.11,767672.4,437054.52,330617.88,2015
195,Sub-Saharan Africa,Cereal,Offline,C,08-04-2015,466412818,12-05-2015,772,117.11,158800.4,90408.92,68391.48,2015
196,Australia and Oceania,Fruits,Online,H,27-01-2012,433117806,06-02-2012,8039,6.92,75003.87,55629.88,19373.99,2012
197,Europe,Cosmetics,Offline,L,06-01-2012,420875346,18-02-2012,5223,263.33,2283495.6,1375372.59,908123.01,2012
198,Sub-Saharan Africa,Cosmetics,Online,C,26-11-2014,946921765,16-12-2014,4048,263.33,1769785.6,1065959.84,703825.76,2014
199,Sub-Saharan Africa,Household,Offline,H,04-04-2010,798805892,25-04-2010,3270,502.54,2185242.9,1643305.8,541937.1,2010
200,Sub-Saharan Africa,Household,Offline,M,17-05-2011,184389054,20-06-2011,3674,502.54,2455223.98,1846331.96,608892.02,2011
201,Central America and the Caribbean,Household,Offline,M,09-09-2013,281845080,18-10-2013,3077,502.54,2056266.79,1546315.58,509951.21,2013
202,Central America and the Caribbean,Meat,Online,H,14-09-2013,989660298,11-10-2013,1330,364.69,561113.7,485037.7,76076,2013
203,Europe,Vegetables,Online,C,05-10-2012,476633536,03-11-2012,5310,90.93,818058.6,482838.3,335220.3,2012
204,Asia,Baby Food,Offline,C,13-04-2013,131876122,22-05-2013,3930,159.42,1003250.4,626520.6,376729.8,2013
205,Sub-Saharan Africa,Meat,Offline,L,15-12-2014,514811885,21-01-2015,3132,364.69,1321359.48,1142209.08,179150.4,2014
206,Asia,Office Supplies,Online,C,20-12-2010,905177152,07-01-2011,889,524.96,578925.69,466689.44,112236.25,2010
207,Middle East and North Africa,Personal Care,Offline,H,02-07-2014,653020751,19-07-2014,2207,56.67,180378.11,125070.69,55307.42,2014
208,Asia,Meat,Online,L,31-01-2017,528704011,02-03-2017,4121,364.69,1738608.69,1502887.49,235721.2,2017
209,Asia,Snacks,Offline,M,05-02-2015,472900760,19-03-2015,699,97.44,106653.42,68110.56,38542.86,2015
210,Central America and the Caribbean,Baby Food,Offline,L,23-07-2013,946597325,23-07-2013,8039,159.42,2052195.92,1281577.38,770618.54,2013
211,Asia,Office Supplies,Offline,L,06-10-2014,681092536,18-11-2014,9272,524.96,6038019.12,4867429.12,1170590,2014
212,Europe,Vegetables,Offline,C,02-07-2014,727997720,19-07-2014,9558,90.93,1472505.48,869108.94,603396.54,2014
213,Middle East and North Africa,Baby Food,Online,C,29-05-2013,409236705,11-06-2013,1090,159.42,278255.2,173767.8,104487.4,2013
